"","A","Th_A","A+T","A*T","Th_A+T","Th_A*T","A+T+D","A*T*D","Th_A+T+PD","Th_A*T*PD"
"All",0.818849700389712,0.776979280655048,0.913859312951538,0.925957585237656,0.907479925497857,0.924567411724279,0.916912202895684,0.931320660807088,0.907893896671257,0.929715537004622
"242",0.876963371149653,0.8724630494276,0.949807136742262,0.973645035155076,0.953186191880261,0.960522342335811,0.953135576487523,0.972131956435277,0.959951726933076,0.975154725392011
"246",0.829273004011378,0.750893433348286,0.916665223733609,0.919537800252963,0.845441702704091,0.853917551901133,0.913717304712894,0.915582781750183,0.840953712224589,0.8656562413254
"319",0.58684735250925,0.560161633250022,0.699959041297333,0.689277679839453,0.622911333907523,0.681212813791844,0.764086036347767,0.859007842311734,0.663506814612325,0.842330521943424
"325",0.889401141852539,0.820790694516509,0.933587594296407,0.93121736635264,0.880345091539174,0.879365125366921,0.936956009394707,0.938723911471315,0.879091155865461,0.866120587754483
"326",0.880035906625077,0.847376726382944,0.909052262665871,0.946226162714775,0.875863002104925,0.901004287220329,0.939147598663174,0.977122506975214,0.875770501269952,0.915053463038389
"390",0.615095093692507,0.761303671464892,0.779055398256677,0.790271412207178,0.911017120697703,0.924211668469778,0.860654505061418,0.912014677073918,0.910797668617523,0.922234433211543
"572",0.680730574593192,0.623702863515242,0.867273069659856,0.884822366914937,0.767736327286532,0.764160214369158,0.877662082292741,0.894738231348844,0.759727559783347,0.755583808602066
"580",0.669664193865507,0.579911905657799,0.873271550482504,0.870813604402738,0.834091133829507,0.829221458035347,0.872059068846534,0.861951774957718,0.833600255045547,0.843812599604026
"582",0.762485457115254,0.772995732483795,0.864521770557506,0.865396378335884,0.845272025280352,0.840207014293061,0.862309879180546,0.888771541464928,0.845295390932723,0.842988996910907
"584",0.940759857677462,0.885783332054579,0.970481813643671,0.970805174508642,0.940624973194888,0.944201984544024,0.969762341929006,0.969648892047416,0.939123623802746,0.953359102957491
"585",0.576329744168601,0.647218506353339,0.709891053850156,0.726038187426486,0.866393575003412,0.866495196965363,0.802387222740576,0.854280118800929,0.86378715304753,0.864692224179807
"839",0.748892002517239,0.512566154804597,0.837119072464762,0.833059456580297,0.694245536059199,0.760222157782575,0.913781720009087,0.921059080784965,0.717120847484184,0.853190205036848
"845",0.890520138091669,0.846212747145673,0.96426942511936,0.963100226592235,0.902029834626994,0.905378043393946,0.963171999816253,0.967793444571794,0.898539935579306,0.908435372518131
"854",0.110270705886064,0.441973225138001,0.38713421385427,0.580610963255421,0.732199757442209,0.743373686067377,0.449910607021393,0.75987896254991,0.733085265374554,0.815768624632884
