"","W","H","D","T","D/W","W*H","W*D","W*T","H*D","H*T","D*T","W*H*D","W*H*T","W*D*T","H*D*T","W*H*D*T"
"All",0.34639757590686,0.0841652994760623,0.165342867122703,0.170608863787263,0.0542865790026922,0.381797988819417,0.375615904887993,0.432126596903854,0.173711094145766,0.213759181458674,0.273816831922447,0.379093077669753,0.448284347457955,0.448962233912798,0.28844305436223,0.444075871540755
"242",0.644200367894413,0.351468217284936,0.490928140564795,0.445445423040597,0.135134710285179,0.829839414138927,0.881770812092173,0.853375806257338,0.501330886678404,0.668587795606595,0.771129174151377,0.948995978071096,0.940549445688676,0.955845228570938,0.80072750726859,0.965330302901073
"246",0.362653895930611,0.385289486787096,0.568696037237782,-0.0216753459327692,-0.0216941453283606,0.600238835672923,0.625514778045364,0.353299458861049,0.591770659015719,0.37656845498745,0.575028116157702,0.640963237726662,0.652222010658756,0.676973104409213,0.584099917266087,0.70220338280689
"319",0.104670515987498,-0.0202001734305843,-0.0246848458285645,-0.0137713689072159,-0.0136492231920717,0.0400741551847048,0.0466518252903688,0.0687097335096294,-0.0632989832960282,-0.0612070403045577,-0.06790811306848,-0.071291074204108,-0.0791421869904805,-0.08360561776049,-0.207922554217949,-0.0794871768091943
"325",0.501259032845548,0.322303138180893,0.543629999068201,0.071254665640078,0.000885494787218222,0.581276031244009,0.601434689851503,0.54634926602054,0.584036234759788,0.302097517425775,0.565075449386301,0.59684440100584,0.564900196371457,0.605569782171741,0.601381602478621,0.477450319222248
"326",0.153962750829821,0.128821538385634,0.177140324820806,0.109979498070224,-0.0333292045155464,0.129426146986902,0.131274991686853,0.174697115016999,0.125649988692537,0.178113703555877,0.213124219444574,0.0489381304815818,0.0766001523955973,0.0907872795747132,0.111192452968488,-0.132627520828224
"390",0.210745502163467,0.231204751340773,0.24740183773284,0.219667063136029,-0.0193755522122883,0.232754533157813,0.246965756051615,0.289878255778971,0.207093869094787,0.301421879860671,0.307578879507996,0.27756273102421,0.22231259853426,0.236640014630744,0.197279619392322,0.252675192117931
"572",0.169273264532236,0.223958819135477,0.342132299266393,0.0157571460878272,-0.00887179167583985,0.189182996967897,0.302630668814827,0.230956652604907,0.357288191677744,0.265257627182847,0.41740003339453,0.311577944264328,0.314584546443388,0.419449321502552,0.420082669034088,0.303530880746339
"580",0.237084443038645,0.0446230774657765,0.0103908452220935,0.100421650592498,-0.0246470827620862,0.222253017651,0.200009927182053,0.31632719275124,0.00782089836362754,0.174619585075845,0.14159486905524,0.139471450006339,0.313471281636287,0.257836259509383,0.139920160436328,0.0771019899229222
"582",0.0278509042198477,-0.00810546173741966,0.0437793326331971,0.0275841785703085,-0.03111605441548,-0.0235822201854454,-0.0123127379431327,0.0524300220870696,0.00156430375755334,-0.0155601340716744,0.00517433891428531,-0.0881906709228852,-0.0424408613705707,-0.0452138499144601,-0.0724597486620187,-0.32970915252712
"584",0.0984215880589203,-0.0509407954687222,-0.0516387857745244,-0.0220313425769725,-0.0287356724964964,0.164680336181861,0.0315188231879793,0.0123626238197629,-0.104104179542144,-0.138871972631116,-0.13129241833128,0.729757007283561,-0.0247815456369411,0.0320974349967509,-0.163662813205223,0.594416362379764
"585",0.00888895560238978,0.0172350690655383,-0.0344771384893363,0.180527242878092,0.0127182227268131,-0.0502451797835255,-0.015077152369106,0.130573781325332,0.0704306969251907,0.204341309107488,0.126309802701274,0.157948516588288,0.15407311414443,0.0311065800054607,0.198462764266612,0.284430567558568
"839",0.471665489192824,0.320699629304369,0.677447786374271,-0.0247475097810159,-0.0317249477309673,0.500588079487439,0.660115373980378,0.473344616888797,0.707127175947192,0.394698976605722,0.707638263806366,0.664903217984618,0.593487074147869,0.722983399977194,0.698494015780366,0.657422392388866
"845",0.134253681945607,0.117210195220878,0.159780780462541,0.186635805281966,-0.026057882202309,0.0892384261051541,0.108805411159996,0.298104409304925,0.130177035241807,0.269673543462528,0.308517043344734,0.0113335130900392,0.237500329462181,0.250512670800034,0.257594707694865,0.242923101088265
"854",0.312264699384278,-0.0335301571292363,0.0893984644527011,0.0538137519251578,-0.0156253607085572,0.366969417615211,0.267399814954436,0.347128589189219,0.0456227805982863,0.0791577663243151,0.174596657788252,0.283089225180078,0.321654451287837,0.33844973546196,0.229997563575249,0.182460030583442
