"","W","H","D","T","D/W","W+H","W*H","W+D","W*D","W+T","W*T","H+D","H*D","H+T","H*T","D+T","D*T","W+H+D","W*H*D","W+H+T","W*H*T","W+D+T","W*D*T","H+D+T","H*D*T","W+H+D+T","W*H*D*T"
"All",-0.187102518564551,-0.290405850520259,-0.412748696957481,-0.207263190276909,0.036286460211122,-0.389320215975237,-0.403434453852988,-0.394389518068984,-0.406800491766506,-0.314278885207224,-0.326200495003931,-0.372011135158488,-0.375535848421908,-0.384106736516616,-0.381417227858647,-0.47371455256036,-0.475968799473736,-0.391807854400749,-0.414028084035075,-0.449538387430765,-0.484010952784368,-0.450834577414306,-0.484304050780519,-0.431174305182231,-0.442271876464462,-0.449693039212342,-0.496017046410411
"242",-0.065987050410401,-0.052818373616078,-0.076963741350108,0.00292064627926081,-0.012491847146174,-0.090150378609532,-0.107564473714506,-0.0972825105672259,-0.112044739602445,-0.063866108151997,-0.066173199050038,-0.129325506739689,-0.132618773631797,-0.050653441060908,-0.043790713595544,-0.0753354484500239,-0.063672059184908,-0.103743294584922,-0.094110027786322,-0.088943020775944,-0.125440068547427,-0.096515610079806,-0.125722190351537,-0.129421314795465,-0.135542597274723,-0.110905348721059,-0.117225275444684
"246",-0.174349255611905,0.013030927576866,-0.108138738249604,-0.0808778456602124,-0.0475431398671915,-0.15772489512981,-0.236453013270069,-0.206740700971301,-0.292206519426078,-0.258626083586582,-0.261778304404862,-0.279736320917239,-0.324476512493866,-0.110208746783765,-0.163240177484995,-0.221018162922475,-0.263301194297486,-0.271393791593007,-0.239108803105293,-0.280056314741097,-0.342344135862035,-0.31602823126212,-0.377410290931047,-0.342596631381732,-0.439987821019759,-0.350324834869722,-0.339020593624656
"319",-0.225805999454685,-0.518785069272123,-0.594774723522288,-0.159936152093209,0.029307615923225,-0.616540328883099,-0.643666884729127,-0.607161005728791,-0.646422850783244,-0.336947363601227,-0.34404287909238,-0.562169662349465,-0.581759964771308,-0.608521112785094,-0.629551893702877,-0.683717095475646,-0.73297452699298,-0.639673708824409,-0.72243354673389,-0.691383268967477,-0.839589559768919,-0.689183717134791,-0.870740510215479,-0.653939244526534,-0.78186831388352,-0.720327475916276,-1.0175602219089
"325",-0.17797655744829,-0.171729009330548,-0.288440754019948,-0.059993382680904,0.0221065910715781,-0.276495292101008,-0.287195107073355,-0.294017310831018,-0.318327288727633,-0.200871976175935,-0.207190406877284,-0.298181131070684,-0.317683856234767,-0.172857289782958,-0.210464189738705,-0.28794370720673,-0.311787266336845,-0.310665161027727,-0.295364894108674,-0.267250209334599,-0.334714947432465,-0.288601614532908,-0.361934133257673,-0.304615568691494,-0.381470917104968,-0.3094895435714,-0.612336168165859
"326",-0.579891442900208,-0.574721019369784,-0.690693627138375,-0.13961857246122,-0.0230765645748186,-0.696834229493462,-0.725829864478616,-0.730456306420809,-0.762666342182656,-0.595743385394741,-0.612810801336071,-0.722041027571334,-0.750229761976223,-0.622013823737479,-0.641984951305641,-0.728270533440281,-0.747934758618807,-0.758676788766989,-0.825013597411812,-0.718865446428917,-0.857888351677225,-0.760120769967759,-0.888503849628112,-0.761886367068986,-0.873051777223439,-0.791591102553896,-1.12037099261871
"390",-0.274143600240117,-0.180097571337844,-0.401118154545753,-0.23417637501739,0.0040203664413192,-0.387769280807443,-0.412085598396074,-0.427095734755106,-0.435132894003516,-0.489528854586919,-0.482583199452079,-0.425079752222464,-0.436810068067366,-0.35603411939566,-0.372331115337553,-0.565675333217419,-0.603710439321171,-0.385278025126314,-0.345234165560011,-0.56830137506931,-0.652883663792423,-0.607670376267908,-0.683675764441686,-0.607929616692025,-0.734232016893181,-0.577528491417438,-0.74795552771039
"572",-0.350298762840665,-0.334904714920744,-0.370118927198988,-0.109355821297282,0.0373707657950452,-0.41636835256838,-0.425417315360012,-0.398443097916656,-0.408015525928419,-0.417770260607316,-0.400363884269449,-0.356711413021533,-0.342135106078806,-0.420257433638464,-0.437267528996529,-0.439840073197157,-0.477224935708916,-0.382646457651852,-0.379415186915439,-0.488581236214211,-0.375388305908384,-0.465890710239006,-0.418932054073722,-0.424075257251709,-0.509928543959663,-0.448000967063533,-0.657323199803836
"580",-0.174472743529479,-0.148100476253223,-0.0438140535690991,-0.126811107592886,-0.00405979370142361,-0.313959721433866,-0.309160517761001,-0.208144883729043,-0.24723273035248,-0.291907006420279,-0.309903068748674,-0.153600973091483,-0.150158265102236,-0.338224495668834,-0.35551823697309,-0.194574985397177,-0.307140916637031,-0.326959511418718,-0.427925404021274,-0.491397173301924,-0.571482690059028,-0.347101020268782,-0.51318571993986,-0.351632994664915,-0.357010989713429,-0.511991466519791,-0.830312507497749
"582",-0.593394086575204,-0.240806155399006,-0.553160937261221,-0.259731500540947,-0.131796515789305,-0.744235635332155,-0.767470611106903,-0.811955627912805,-0.843690172362745,-0.723241631920078,-0.692767694755913,-0.572564177265428,-0.584703438988571,-0.429722622941574,-0.460631925491083,-0.658688259497847,-0.679606148413008,-0.826831633965691,-0.856451234361812,-0.847415127150441,-0.858171230080003,-0.897110142824974,-0.951434137653999,-0.679386869093779,-0.740029065439124,-0.917297625925221,-1.2861829559984
"584",-0.568925105719691,-0.834423556643638,-0.936098021332616,-0.0600799061214769,0.105931388003295,-0.699180415796615,-0.694108039609556,-0.78136122108141,-0.776657602419105,-0.665956312613799,-0.711748769463247,-0.870337576474927,-0.921132669314176,-0.913854858239352,-0.980719125432142,-1.01110890548568,-1.08035373067659,-0.805925054840868,-0.18753863799263,-0.799744937704025,-0.941202412133064,-0.872070387838835,-1.0269425511835,-0.956640464144077,-1.13569193278698,-0.905425131150462,-0.394032908727757
"585",-0.351808713770501,-0.396859184298895,-0.596608170871915,-0.396455182229086,-0.0032797861582257,-0.494926634696184,-0.517852992615664,-0.621976255247595,-0.645648451983239,-0.531475079518085,-0.505559100123341,-0.64244050263383,-0.620638333810142,-0.570464479033712,-0.603243461375426,-0.62643993411922,-0.655966000213704,-0.668123947759921,-0.282153679222519,-0.627848065862974,-0.644172766570596,-0.658351970513858,-0.712165831623522,-0.624533172662547,-0.487820145190183,-0.659915554348235,-0.420098349333856
"839",-0.201129225822617,-0.0372372224500361,-0.160682710744647,-0.16702012104423,-0.0107620438704987,-0.21811158674886,-0.207382461575245,-0.204869670081816,-0.215884700712586,-0.342365726209175,-0.372007082370718,-0.18077417248375,-0.190060433328956,-0.277156368942196,-0.281082666397732,-0.310288189258171,-0.324632872380225,-0.198509352591898,-0.242891233346754,-0.410490780735158,-0.456550911899109,-0.352328046011794,-0.313725291654418,-0.299981973492072,-0.352164804805769,-0.335716794458448,-0.208782362768686
"845",-0.536130174608094,-0.627625797743597,-0.683199010008139,-0.026365284982792,-0.059132639163845,-0.688497863377023,-0.739458566636563,-0.712000994265525,-0.76116908392151,-0.542238288874134,-0.544896844181891,-0.707858179085769,-0.757665253137763,-0.61005260128156,-0.588641413277498,-0.67039666505928,-0.654303842133228,-0.736237783158015,-0.843265599371673,-0.67488514324188,-0.738160532747335,-0.701002554081325,-0.755469735812274,-0.693415652706687,-0.758137455377206,-0.723922523735596,-0.640004898930175
"854",-0.328844059748373,-0.189438974111115,-0.355337470265866,-0.0878619468437664,0.121387235791411,-0.250324930804846,-0.314467667816887,-0.295694232775788,-0.316715811032595,-0.407172656748722,-0.442428642576443,-0.338182187130947,-0.295022448872707,-0.457776342358749,-0.38455187586655,-0.56446440871952,-0.474745018337963,-0.317819389777867,-0.451298282241077,-0.412018676912923,-0.499446256282438,-0.467051668330705,-0.478808045178146,-0.514523329397624,-0.470556397623308,-0.469575770401251,-0.778691869712266
