"","FW~H","FW~W","FW~D","FW~T","DW~H","DW~W","DW~D","DW~T","H~W","D~W","T~W","D~H","T~H","T~D"
"PARL 854",0.154080544426537,0.610933041042142,0.174510568757202,0.128602155187696,-0.033530157128141,0.312264699392834,0.0893984644407618,0.0538137519229505,0.220281704049237,0.361513889838653,-0.0284171881627766,0.133111105564887,0.10637227637517,-0.0271954890202823
"PARL 845",0.769534402738659,0.680890884254099,0.869790467649905,0.105373992046457,0.117210195193744,0.134253681911101,0.159780780432446,0.186635805298528,0.562380490553568,0.694662549168485,-0.0191547626130493,0.938124104177071,-0.0134964320182089,-0.00865393190094088
"PARL 839",0.36830701360551,0.451812396433798,0.793882486789252,0.00970645229631584,0.320699629376813,0.471665489225119,0.677447786454543,-0.024747509772288,0.307133249416858,0.504913427428438,-0.00071011738437643,0.685008320510787,0.10690579619977,-0.00997979521856807
"PARL 585",0.532627544972496,0.552818068739455,0.391519282894623,0.367525504225866,0.0172350690355357,0.00888895561727143,-0.0344771384890423,0.180527242855419,0.469169872958849,0.40701433503232,0.0212194440259089,0.538753333841584,-0.0109784361870995,-0.0214680157951657
"PARL 584",0.736217901992533,0.739342479318206,0.310049243560566,0.0213698700134948,-0.0509407954805616,0.0984215879959834,-0.0516387857782599,-0.0220313425641065,0.465042970870886,0.256530224779667,-0.0333063766292416,0.216915367512293,-0.0322840909993349,-0.00675378180020436
"PARL 582",0.36272768555917,0.664724843290344,0.624631785433305,0.318724732855835,-0.00810546175848992,0.0278509041976142,0.0437793325870496,0.02758417855187,0.117106632332596,0.339679002943666,0.0800843764622886,0.702826016597926,0.062775040985488,0.131314811310646
"PARL 580",0.233579174709958,0.444327177993492,0.138969503384855,0.141134979526959,0.044623077424003,0.237084443045186,0.0103908452241616,0.100421650625635,0.00727350201144827,0.0711980024709318,-0.0327260659005699,0.255179677298514,0.0014870545492367,0.0231307618251937
"PARL 572",0.560647247644571,0.508067775263829,0.70095094298674,0.086599755294413,0.223958819142397,0.169273264529218,0.342132299266919,0.0157571461019165,0.546751522064951,0.640749347255438,-0.0315011703203509,0.882855794798,-0.0314040431163589,-0.0306251595237026
"PARL 390",0.554642632518181,0.630357990209107,0.651120537023586,0.417363075347559,0.231204751297938,0.210745502046615,0.247401837647204,0.219667063231191,0.296748177043396,0.512336682668035,0.0588779327388778,0.753778734912565,0.0971411439855204,0.0639993295244726
"PARL 326",0.690457566576373,0.68920170742216,0.863379813061951,0.214371791333118,0.128821538383241,0.153962750872867,0.177140324819196,0.109979498125278,0.40669771279835,0.630339283603689,0.190609603446025,0.878124996090878,-0.00394546966208575,0.0269027316812596
"PARL 325",0.468901570975703,0.642021861794827,0.771186867212893,0.171497140820057,0.322303138297264,0.501259032951591,0.543629999247531,0.0712546655788499,0.123668992761193,0.455241658770998,-0.0197808453500889,0.808548585201305,0.0586620528606847,0.051466545383423
"PARL 319",0.260761967012654,0.490420066322535,-0.00145348044338034,0.0470332156307554,-0.0202001734419897,0.104670515977321,-0.0246848458340054,-0.0137713689128494,0.0889693389757725,-0.0312244994328665,-0.032357463722368,0.049893880191679,-0.0295605707267166,0.0313943202037691
"PARL 246",0.332010244576144,0.527926892608611,0.623260488007114,0.0328898189195469,0.385289486861589,0.362653895943761,0.56869603727693,-0.0216753459363981,0.0232413193573051,0.214582031760252,-0.0314406527115674,0.870133627525897,-0.0273649874497262,-0.0321485929148138
"PARL 242",0.483991650949553,0.755509141894615,0.643932053533415,0.427423528978889,0.351468217137719,0.644200367804266,0.4909281403877,0.445445423057327,0.287934500345727,0.375494773679781,0.149199134132726,0.883663486680096,0.0375022073840935,0.106662862178083
"All",0.369303881959856,0.536566469067781,0.486171453261172,0.349786383194126,0.0841652994709297,0.346397575894561,0.165342867116799,0.17060886379298,0.0351368302674184,0.183540779007816,0.0417597862867458,0.567077503336478,0.0615904473061043,0.0836079350494845
